no_employees,benefits
26-100,Yes
100-500,Yes
100-500,Yes
100-500,Yes
100-500,Yes
500-1000,No
More than 1000,Yes
26-100,Yes
100-500,Yes
26-100,No
100-500,Yes
26-100,Yes
100-500,No
26-100,Yes
100-500,No
100-500,No
More than 1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,No
26-100,No
More than 1000,Yes
500-1000,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
100-500,Yes
26-100,No
100-500,Yes
26-100,Yes
26-100,No
26-100,Yes
100-500,No
More than 1000,Yes
100-500,Yes
100-500,Yes
500-1000,Yes
26-100,No
26-100,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,No
26-100,Yes
500-1000,No
More than 1000,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
100-500,Yes
500-1000,Yes
26-100,Yes
26-100,Yes
More than 1000,No
More than 1000,Yes
100-500,Yes
100-500,Yes
26-100,No
500-1000,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,No
More than 1000,Yes
26-100,Yes
26-100,Yes
100-500,Yes
500-1000,No
26-100,Yes
100-500,Yes
100-500,Yes
More than 1000,Yes
500-1000,Yes
500-1000,Yes
26-100,No
More than 1000,Yes
26-100,No
500-1000,Yes
More than 1000,Yes
100-500,Yes
500-1000,Yes
100-500,Yes
500-1000,No
100-500,Yes
26-100,No
More than 1000,No
26-100,Yes
26-100,Yes
100-500,Yes
500-1000,Yes
26-100,No
26-100,Yes
100-500,Yes
More than 1000,Yes
500-1000,Yes
500-1000,Yes
More than 1000,Yes
26-100,Yes
100-500,No
100-500,No
More than 1000,No
500-1000,Yes
More than 1000,Yes
500-1000,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,Yes
500-1000,Yes
26-100,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
26-100,Yes
26-100,Yes
100-500,No
26-100,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
500-1000,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
100-500,Yes
100-500,No
100-500,Yes
100-500,No
More than 1000,Yes
100-500,Yes
500-1000,Yes
100-500,Yes
26-100,No
26-100,Yes
100-500,Yes
26-100,Yes
26-100,No
26-100,Yes
26-100,Yes
500-1000,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
26-100,No
100-500,Yes
More than 1000,No
26-100,Yes
100-500,Yes
26-100,Yes
100-500,Yes
100-500,Yes
500-1000,Yes
100-500,No
100-500,Yes
100-500,Yes
100-500,Yes
500-1000,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
26-100,No
More than 1000,Yes
100-500,Yes
26-100,Yes
100-500,Yes
100-500,Yes
More than 1000,Yes
100-500,Yes
100-500,Yes
100-500,No
26-100,No
100-500,Yes
100-500,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
26-100,No
26-100,Yes
100-500,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
100-500,No
26-100,Yes
100-500,No
500-1000,No
26-100,No
26-100,Yes
100-500,Yes
100-500,Yes
100-500,Yes
More than 1000,Yes
26-100,Yes
500-1000,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
100-500,Yes
26-100,Yes
100-500,Yes
26-100,Yes
100-500,Yes
100-500,Yes
500-1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,No
100-500,Yes
More than 1000,Yes
More than 1000,Yes
26-100,Yes
More than 1000,No
More than 1000,Yes
100-500,No
26-100,No
26-100,Yes
100-500,No
100-500,Yes
More than 1000,Yes
100-500,Yes
100-500,No
More than 1000,Yes
More than 1000,Yes
100-500,Yes
More than 1000,No
26-100,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
100-500,Yes
26-100,Yes
26-100,No
500-1000,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
26-100,No
More than 1000,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
100-500,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
More than 1000,Yes
26-100,Yes
500-1000,Yes
26-100,Yes
More than 1000,Yes
26-100,No
More than 1000,Yes
26-100,Yes
100-500,Yes
More than 1000,Yes
100-500,Yes
100-500,Yes
26-100,Yes
100-500,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
26-100,No
100-500,No
500-1000,Yes
More than 1000,Yes
More than 1000,No
100-500,Yes
26-100,Yes
26-100,No
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
More than 1000,Yes
More than 1000,No
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
26-100,No
100-500,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
500-1000,Yes
More than 1000,Yes
100-500,Yes
100-500,Yes
More than 1000,Yes
100-500,Yes
100-500,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
100-500,No
More than 1000,Yes
26-100,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,No
500-1000,Yes
26-100,No
26-100,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
26-100,No
100-500,Yes
More than 1000,Yes
More than 1000,No
26-100,Yes
More than 1000,No
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,No
100-500,Yes
More than 1000,No
26-100,Yes
26-100,Yes
26-100,Yes
500-1000,No
26-100,No
26-100,Yes
500-1000,Yes
500-1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
100-500,No
More than 1000,Yes
26-100,Yes
More than 1000,Yes
500-1000,Yes
26-100,Yes
26-100,No
100-500,Yes
26-100,Yes
26-100,No
More than 1000,Yes
More than 1000,Yes
100-500,Yes
500-1000,Yes
More than 1000,No
26-100,Yes
100-500,Yes
100-500,Yes
100-500,Yes
100-500,No
More than 1000,Yes
More than 1000,Yes
26-100,Yes
500-1000,No
More than 1000,Yes
100-500,Yes
26-100,Yes
26-100,No
100-500,Yes
More than 1000,Yes
100-500,Yes
26-100,Yes
100-500,No
500-1000,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
100-500,Yes
More than 1000,No
More than 1000,Yes
26-100,No
100-500,Yes
More than 1000,No
More than 1000,Yes
More than 1000,Yes
26-100,No
100-500,No
More than 1000,Yes
100-500,No
26-100,No
More than 1000,No
26-100,Yes
500-1000,Yes
100-500,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,No
More than 1000,Yes
More than 1000,Yes
26-100,No
More than 1000,Yes
100-500,Yes
More than 1000,Yes
100-500,No
More than 1000,Yes
26-100,Yes
26-100,No
500-1000,Yes
26-100,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
26-100,Yes
More than 1000,No
100-500,No
100-500,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
100-500,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,Yes
500-1000,No
More than 1000,Yes
More than 1000,No
26-100,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
More than 1000,Yes
26-100,Yes
100-500,No
100-500,Yes
More than 1000,No
More than 1000,Yes
26-100,Yes
More than 1000,Yes
More than 1000,No
26-100,No
26-100,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
100-500,Yes
500-1000,Yes
100-500,Yes
500-1000,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
26-100,No
100-500,Yes
26-100,Yes
100-500,Yes
100-500,Yes
100-500,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,No
100-500,No
26-100,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
26-100,No
100-500,No
100-500,Yes
More than 1000,Yes
More than 1000,Yes
500-1000,Yes
More than 1000,Yes
26-100,Yes
More than 1000,Yes
26-100,No
More than 1000,Yes
26-100,Yes
100-500,Yes
26-100,No
100-500,Yes
More than 1000,No
More than 1000,Yes
500-1000,Yes
100-500,Yes
More than 1000,Yes
26-100,Yes
100-500,No
More than 1000,Yes
26-100,Yes
100-500,Yes
100-500,Yes
More than 1000,No
26-100,No
100-500,Yes
More than 1000,No
26-100,No
More than 1000,Yes
26-100,No
26-100,No
26-100,Yes
More than 1000,No
100-500,No
26-100,Yes
100-500,Yes
26-100,Yes
More than 1000,Yes
More than 1000,Yes
500-1000,Yes
More than 1000,Yes
100-500,Yes
More than 1000,No
More than 1000,Yes
More than 1000,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
26-100,Yes
100-500,Yes
26-100,Yes
26-100,Yes
26-100,Yes
26-100,Yes
More than 1000,Yes
100-500,Yes
More than 1000,Yes
26-100,No
100-500,Yes
100-500,Yes
500-1000,Yes
500-1000,No
26-100,No
26-100,Yes
More than 1000,Yes
26-100,No
100-500,Yes
100-500,Yes
500-1000,Yes
100-500,Yes
100-500,Yes
